candidato,alias,TAfterDeb,Siguiendo,Antiguedad,Telecciones,likesToPage,talkingAbout,totEngagementFB,averageEngagement,engagementLike,engagementComm,engagementShare,fotosOnPage,linksOnPage,videoOnPage,statusOnPage,totPostOnPage,ipsos,validos
Beingolea,BeingoleaA,20323,404,5,21627,12473,2025,4579,79,3603,222,754,33,0,24,1,33,4.3,4.47
Belmont,RicardoBelmontC,5758,153,8,5935,117029,39945,356796,4299,136570,135212,85040,9,0,73,1,9,4,3.87
Capunay,EstherCapunay,8127,710,7,9028,71148,14795,57657,501,26785,9571,21301,20725,1221,35646,66,115,2.2,2.04
Castaneda,luchocastanedap,6998,635,7,7122,7522,4090,40639,782,23194,12975,4470,16212,0,24427,0,52,2.7,2.56
Columbus,DitelColumbus,16130,1084,3,16329,13172,11044,25359,276,16073,2596,6690,11953,62,13344,0,92,2,2.7
Cornejo,ENRIQUECORNEJOR,39476,1469,8,39710,76556,24303,43546,2903,25116,4966,13464,25555,0,17991,0,15,1.9,2.01
Fernandez,EnriquePorLima,109,239,0,4881,20706,108831,155467,1003,96444,10048,48975,45168,4157,104104,2038,155,1.6,1.53
Gago,JulioGagoPe,22112,1538,8,22219,8213,6350,13603,146,5329,6413,1861,54,7,30,2,93,0.8,0.74
Gomez Baca,GomezBacaxLima,1068,122,2,1092,32858,992,6066,98,3694,1401,971,27,3,29,3,62,0.4,0.67
Guerra Garcia,GGG_pe,14077,538,7,14923,56091,492,1686,51,1065,99,522,11,3,19,,33,0.9,0.76
Lay,humberto_lay,18333,148,7,18448,70906,7307,32484,591,18887,2141,11456,5572,5695,19454,1763,55,1.8,1.98
Munoz,JorgeMunozAP,23710,453,8,29233,154473,219166,476649,2020,310249,45003,121407,188,3,42,3,191,32.4,36.16
Ocrospoma,kikeocrospoma,2969,548,8,4426,11563,5408,19989,241,7378,7104,5507,33,1,49,,83,0.8,0.61
Reggiardo,Renzo_Reggiardo,33691,192,7,34039,34218,617219,118050,522,63142,41667,13241,70,4,150,2,74,9.9,8.84
Salinas,jaimesalinas80,4628,39,6,4653,12370,1522,26904,402,19137,2070,5697,8585,1003,17316,0,67,3.9,3.51
Urresti,DanielUrresti1,354065,387,4,355302,237673,113530,579444,2336,339549,95554,144341,70,4,165,9,74,21.1,19.63
Velarde,ManuelVelardeD,9650,190,2,10229,93161,12769,66786,997,52893,3618,10275,38074,0,28712,0,67,2.1,1.86
Villacorta,mikausape,206,753,0,215,2593,533,4896,77,3709,428,759,33,3,28,,64,0.6,0.34
Zurek,juancarloszurek,1775,435,8,1791,59155,28009,143348,1247,90829,30807,21712,64978,10435,67935,0,115,4.2,3.59
