fecha,Positividad,Likes,ReTweets,txt
2018-07-15 04:19:47,0.37805853899288333,20,5,Será la despedida de de . Los espero a las 10pm.
2018-07-15 04:20:58,0.7531206400703201,10,2,Gran idea
2018-07-15 05:21:27,0.6911918913825897,143,15,Hoy es la final del mundial. El día más esperado por los amantes del futbol cada 4 años. El mundo unio por un balón.
2018-07-15 14:53:33,0.4123611453141995,9,1,"Despejada la duda en Croacia, va Brozovic y no Kramaric. Me gusta más esa propuesta de Dalic. Equilibra el medio, mejora la contención y libera a Modric."
2018-07-15 15:00:11,0.4800450830448074,1,0,"Francia con su mejor 11 también. Aquel que después de muchas variantes, terminó Deschamos de encontrar contra Perú. Ya clasificado no lo alineó frente a Dinamarca, pero desde octavos no lo cambió más (salvo la ausencia obligada de Matuidi ante Uruguay)"
2018-07-15 15:11:34,0.9370682943775356,2,0,Croacia mandando en los primeros 10 minutos de la final
2018-07-15 15:11:34,0.9370682943775356,2,0,Croacia mandando en los primeros 10 minutos de la final
2018-07-15 15:22:10,0.38067426761081474,3,0,Gol de Francia. Croacia la tuvo casi 20 minutos sin patear al arco. Francia en su primera llegada hizo gol.
2018-07-15 15:25:23,0.4406697965430578,19,7,"Ojo que desde cuartos, siempre Croacia recibe el primer gol... y termina ganando."
2018-07-15 15:49:29,0.7832605084932407,14,4,Buen 1er tiempo. 3 goles en 45 minutos no es usual en una final.
2018-07-15 15:53:46,0.1294388841892449,14,1,Ojo que los 3 goles nacieron de balón detenido.
2018-07-15 15:55:56,0.7354061300788537,11,2,"Buen primer tiempo. Buen futbol, buena disposición y con goles. Está para cualquiera. Veremos si el desgaste físico mundialista pasa factura a Croacia. Hasta ahora no se ha notado."
2018-07-15 16:21:44,0.0358538520938813,7,1,"Golazo de uno de los mejores del mundial. Sensacional pase largo de Pogbá, gran llegada de Mbappe, él a Griezman y este a Pogbá que llegando remata de derecha y tras rebote le da de izquierda. Golazo."
2018-07-15 16:25:18,0.17278785557982448,8,0,Hiper resuelto. Golazo de Mbappe. Tenemos final llena de goles. Viva el futbol.
2018-07-15 16:31:26,0.621044650107376,27,2,Ya Lloris no será el mejor del mundial. Qué blooper
2018-07-15 16:34:29,0.41547651961381443,5,0,Un gol más y se igualará el récord goleador de la final de Suecia 58 (Brasil 5 Suecia 2)
2018-07-15 16:59:20,0.5564650450487729,21,2,Ahora sí. Después de lo ocurrido hoy no queda duda que Francia es el mejor equipo del mundial. Justo campeón.
2018-07-15 17:01:24,0.4606785941436237,1,0,"Pero si queremos evitar que sean 36 años otra vez, debemos comenzar a trabajar hoy."
2018-07-15 17:06:33,0.18540567958916787,0,0,"Claro, tienes razón. Gracias"
2018-07-15 17:10:33,0.37790788580556317,0,0,Asu. Claramente discrepamos. Abrazo.
2018-07-15 17:11:43,0.2138438912056394,1,0,Un gol más va a haber... esta vez no fue. Brasil del 58 sigue a la cabeza.
2018-07-15 17:14:51,0.10159288917660272,17,2,Eso no es suerte. Por suerte no se hacen 4 goles. Por suerte no se gana un mundial. Es un estilo de juego y unos jugadores notables que cada vez que aceleran hacen gol (lástima que no aceleren con frecuencia)
2018-07-15 17:15:39,0.311427638780216,0,0,¿2 goles de suerte?
2018-07-15 17:30:33,0.12951541440942602,87,18,"Qué mal quedó Putin (su personal). En el diluvio durante 5 minutos lo protegieron con el único paraguas, mientras los demás, incluida la presidenta croata se empapaban."
2018-07-15 18:17:29,0.5379661755500749,5,0,Un anfitrión descortés. Hasta con la dama
2018-07-15 18:17:29,0.5379661755500749,5,0,Un anfitrión descortés. Hasta con la dama
2018-07-15 18:20:07,0.028115651085750187,0,0,"Se lo habrán indicado para nominarlo a la final. Sigo creyenso que fue el.mejoŕ árbitro de la Copa. En cuanto a las faltas, creo q fueron falta las dos. Opiniones diferentes, es futbol"
2018-07-15 18:21:53,0.8147551482753008,22,1,"Detalles que hacen a dierencia. Cuando eres el anfitrión, te atiendes al último, primero los invitados. Son buenos modales y cortesía q hacen la diferencia."
2018-07-15 18:22:29,0.4593151287836484,2,0,Me interesa en Perú.
2018-07-15 18:23:35,0.7953667248510028,5,1,¿y la presidenta? Se llama cirtesía. Hay que recuperar las buenas costumbres para una convivencia feliz.
2018-07-15 18:29:35,0.3825434975652318,1,0,Con modales mejor.
2018-07-15 18:45:18,0.0007424683744440995,139,32,"¿polemizamos? Modric no ha sido el mejor del mundial. Fue el mejor croata en la fase de grupos, es un crack, es super carismático y puede que sea el mejor jugador del año, pero no del mundial. Griezmann, Perisic, Hazard, Mbappe, Pogbá, lo hicieron mejor."
2018-07-16 00:49:05,0.07781718835750266,36,3,"Hoy a las 10pm ""Goles en Acción"" se despide de Y con la visita de nuestro corresponsal en España Último programa, dedixado a la final del mundial. Canal 31 de Movistar, 18 de Claro, 12 de Best Cable y 1.1 en señal digital. Los espero."
2018-07-16 00:50:35,0.11004988301665765,0,0,"Yo no diría plop por tus opiniones. Son tus opiniones, aunque discrepemos."
2018-07-16 07:11:25,0.13035893407087845,1,0,Por ahora el próximo domingo Goles e Acción va a las 9pm por facebook. Búscanos allí que desde mañana colgamos reportajes a las 8pm
2018-07-16 07:13:48,0.2749868478570449,1,0,Por ahora en el facebook de Goles en Acción. Desde mañana comenzamos colgando reportajes por la noche y el proximo domingo a las 9pm Goles en Acción.
2018-07-16 07:15:09,0.1451148831730832,0,0,¿cómo que cualquiera lo puede hacer? ¿cualquiera puede ser campeón del.mundo? Vamos
2018-07-16 07:17:16,0.2978517870073354,0,0,Ni. Seguimos por facebook. Por allí les paso novedades en unos días
2018-07-17 07:23:34,0.6761143835702206,7,0,Vamos Perú!
2018-07-17 07:40:35,0.7441200698327479,10,2,"Para todos los q llevaron Deontología conmigo en los últimos años, esta es lectura obligatoria... recuerden los puntos en contra ;)"
2018-07-17 11:50:29,0.32823650481604266,21,4,
2018-07-17 18:55:28,0.304077825638303,343,85,Bravo Presidente . Y haga cuestión de confianza si no los sacan a todos.
2018-07-18 03:44:54,0.04536199062999216,1,0,¿de qué hablas? ¿cuál provecho?
2018-07-18 05:28:39,0.32347051913278807,126,12,"Abrazo y gracias por devolvernos al camino correcto con la sensatez de tu respuesta. Que no nos envenenen los mediocres, ni los malcriadoa, ni los cobardes. No a la violencia. Viva el futbol."
2018-07-18 05:31:38,0.0021076298785628646,37,2,"Que indignante. Cuando parece que no puede caerse más bajo, sigue empeorando. Cada día más."
2018-07-19 21:38:15,0.3292814210763554,212,37,"Ante la grave crisis que vive el Perú, en mi calidad de Pdte del PPC, convoco a los dirigentes de todo el país a reunión de Comisión Política en el local de Lima a las 8pm el Sábado 21. Hagan un alto en sus campañas regionales y vengan de todas las regiones que el Perú es Primero"
2018-07-19 23:16:03,0.15846944520211292,6,1,"Seguramente tu no lo estás, yo tampoco y muchos más, de manera q no digas q todos estan manchados. A ver si con esta crisis por fin entendemos que tenemos que metemos para no dejar la cancha a los corruptos. Levanta el ánimo. Si se.puede."
2018-07-20 20:58:54,0.03249389178670586,188,50,"La mujer del César no solo debe serlo sino parecerlo. En este momento de crisis que vive el Perú, es intolerable que jure como Fiscal de la Nación, uno sobre el que hay sospechas. Qué poca capacidad a la renuncia. Tenemos que poner al Perú antes que las aspiracones personales."
2018-07-20 21:01:30,0.049791874686236165,130,46,Peor cuando se vota en junta de Fiscales Supremos para evitar su juramentación y él gana apretado 3 a 2. Peor todavía cuando sus 3 votos provienen de Fiscales q están bajo sospecha. Y el colmo cuando uno de esos votos ES EL SUYO. Ya se perdió todo sentido sel honor.
2018-07-22 07:29:31,0.47267222113153207,0,0,Abrazo Drago. Chequea esto por favor
2018-07-22 07:33:45,0.01203802855990671,3,2,1. Liderar el trabajo en Lima. 2. Convocar Alcaldes distritales para medidas conjuntas. 3. Coordinacion de serenagos distritales. 4. Patrullaje de fronteras. 5. Prevención eficiente en zonas de riesgo. 6. Representación de la ciudad ante Fiscalía para q no suelten a detenidos...
2018-07-22 07:52:18,0.32823650481604266,0,0,
2018-07-22 23:38:56,0.07589594777594365,23,4,Elecciones municipales 2018: Alberto Beingolea recorre las calles de Chorrillos [FOTOS] vía
2018-07-23 23:57:10,0.6546277918963249,13,7,Recomiendo leer este artículo.
2018-07-23 23:59:07,0.22689821623297898,0,0,"Teresa ganó limpiamente unas internas, por méritos propios. No diacrimines ni generalices"
2018-07-24 00:03:03,0.01371419909200437,171,50,"Beingolea: ""Si ven una campaña millonaria, no voten por esta por favor"""
