fecha,Positividad,Likes,ReTweets,txt
2018-07-15 03:26:47,0.7314432063305984,21,10,"Me voy a descansar con la certeza de que estamos por buen camino. Hoy en los AAHH Los Intis, Las Palmeras y Nazareno en Villa Maria del Triunfo recibimos todas los pedidos de nuestros vecinos."
2018-07-16 13:25:38,0.00766570899977658,24,12,Cuantos candidatos con antecedentes de corrupción están participando en las elecciones municipales y regionales que vienen en todo el pais?. Podemos hacer algo al respecto?
2018-07-17 13:11:42,0.6275819539800757,35,20,Empoderar a la mujer no será solo un lema de campaña. Voy a recorrer todos los distritos de Lima para recoger su voz y hacerla sentir en medios y redes. Bienvenidos a mi nuevo espacio EL PODER DE LA MUJER.
2018-07-17 14:12:02,0.32823650481604266,1,1,
2018-07-17 16:57:21,0.6135224886162101,37,24,En horas realmente criticas vuelvo a decirlo y nuestro tiempo es ahora
2018-07-17 17:10:31,0.5924870136280177,27,16,Muy bien Presidente .
2018-07-17 17:10:31,0.5924870136280177,27,16,Muy bien Presidente .
2018-07-17 19:22:09,0.21330985635621466,1,0,"Estimada la salud pública es una prioridad en mi plan de gobierno municipal, es un derecho por el que trabajaré de la mano con ustedes"
2018-07-17 19:29:30,0.06290705395957547,0,0,"Los feminicios no tienen ninguna justificación, los adjetivos calificativos están demás. Es el momento de ponernos firmes para tomar acciones claras y concretas. La lucha es de todos."
2018-07-17 19:40:52,0.5880931278546062,32,14,"Estimado trabajaremos en conjunto para hacer realidad las propuestas de gobierno municipal, los vecinos de se merecen una mejor calidad de vida. Llego el momento de ser firmes y tomar decisiones para el cambio que Lima necesita"
2018-07-18 18:49:58,0.1275972908503644,37,25,"Lima tiene periferias, sectores olvidados que no tienen agua, luz o pistas. Los limeños ya estamos cansados de recibir promesas electorales, por eso postulo a la Alcaldía para trabajar por aquellos que reciben promesas pero no hechos."
2018-07-18 23:26:39,0.2546707312532031,35,24,"Basta ya de delincuencia, de inseguridad ciudadana, de violencia, de . Es el momento de ser firmes y trabajar en conjunto con los municipios distritales por el bien de Lima."
2018-07-19 00:03:00,0.29161537862584813,3,1,Juntos haremos grandes cosas por
2018-07-19 13:41:13,0.263929863227919,1,0,"Así es, trabajaremos articulados en beneficio de los vecinos de"
2018-07-19 15:48:05,0.015363068598917427,40,16,"Los fiscales y jueces no pueden lucrar a costa del ciudadano. Mi objetivo es tener una administración pública honesta y transparente. Que sepan los que si le robas al país, le robas a todos los peruanos."
