,x,candidato,alias,followers_afdb,following_afdeb,antiguedad,meses,followers_predeb,following_predeb,setiembre,followers_Ag,following_Ag,Nuevos_Followers1,Nuevos_Followers2
1,8,Beingolea,BeingoleaA,20323,404,4,11,19941,402,6.4,19266,400,675,382
2,9,Belmont,RicardoBelmontC,5758,150,8,2,5604,150,8,5038,150,566,154
3,18,Capunay,EstherCapunay,8127,711,6,11,8014,711,3.7,7571,707,443,113
4,16,Castaneda,luchocastanedap,6998,635,7,8,6865,633,5.1,6558,628,307,133
5,5,Columbus,DitelColumbus,16130,1080,3,5,16047,1080,3.4,15822,1068,225,83
6,3,Cornejo,ENRIQUECORNEJOR,39476,1468,8,1,39373,1472,2.2,39083,1468,290,103
7,4,Fernandez,EnriquePorLima,109,211,0,2,74,195,0,34,145,40,35
8,2,Gago,JulioGagoPe,22112,1521,8,10,22072,1519,0,22032,1505,40,40
9,17,Gil,JoseLuisGil1000,6323,4642,1,11,6293,4636,0,6063,4628,230,30
10,19,Gomez Baca,GomezBacaxLima,1068,122,2,7,1049,122,0,1022,122,27,19
11,6,Guerra,GGG_pe,14077,537,7,8,13513,534,0,11459,470,2054,564
12,14,Lay,humberto_lay,18333,147,7,1,18257,144,2.7,18077,140,180,76
13,0,Munoz,JorgeMunozAP,23710,453,8,2,20139,451,14.2,18488,446,1651,3571
14,10,Ocrospoma,kikeocrospoma,2969,548,8,5,2944,546,0,2862,547,82,25
15,11,Reggiardo,Renzo_Reggiardo,33691,192,7,11,33396,192,16.9,32698,194,698,295
16,1,Salinas,jaimesalinas80,4628,39,6,8,4568,39,3.7,4397,39,171,60
17,13,Urresti,DanielUrresti1,354065,387,4,6,353536,386,17.3,352189,386,1347,529
18,15,Velarde,ManuelVelardeD,9650,190,2,11,8474,190,3.9,6341,184,2133,1176
19,12,Villacorta,mikausape,206,745,0,3,188,741,0,132,649,56,18
20,7,Zurek,juancarloszurek,1775,435,8,10,1745,433,4.4,1680,429,65,30
