fecha,Positividad,Likes,ReTweets,txt
2018-07-15 23:58:01,0.23797395317083844,8,3,"¡Gracias, Villa El Salvador! Estuvimos ayer en la presentación del plan de gobierno de Marcelino Huamán y comprobamos el firme compromiso que tiene con su distrito. Necesitamos pensar como una 🌾🌾"
2018-07-16 17:16:44,0.06280954227187872,4,1,"Nuestro equipo está preparado, aceptamos el reto de restaurar Lima. Con honestidad, mucho trabajo y transparencia se puede lograr. Plan de gobierno --&gt; 🌾🌾"
2018-07-17 15:52:28,0.5704578806729447,5,2,"Hoy los distritos de Lima trabajan apartados de la Municipalidad Metropolitana. Nosotros estamos decididos a liderar y conciliar por el desarrollo de la ciudad, como una 🌾🌾"
2018-07-17 21:56:58,0.7608754158908287,18,9,¿Por qué Lima se encuentra en el actual caos? 🌾🌾
2018-07-18 19:26:50,0.08847710761440263,6,4,"Recordamos a un hombre que logró romper barreras raciales por medio de paz y conciliación. Seamos parte de un cambio en Lima, de manera pacífica pero firme."
2018-07-18 19:50:56,0.4354890388230574,15,4,Para hablar de honestidad hay que ser consecuentes. Nuestros actos pasados y futuros nos definen como personas y profesionales.
2018-07-18 22:31:37,0.1371655073711136,19,9,¡Exigimos elecciones transparentes! Alto a la corrupción.
2018-07-19 02:47:31,0.01385936009851667,1,1,¡Aquí estamos! Y puedes vee nuestro plan de gobierno acá --&gt; 🌾🌾😎
2018-07-19 21:13:13,0.2895489084648253,11,5,Sobre la marcha de hoy 🌾🌾
2018-07-20 16:35:14,0.16699488691567094,13,7,Estamos en el mercado Jorge Chavez en Surco junto a nuestro candidato Juan Palma.
2018-07-20 19:09:40,0.8338018300456264,1,0,Junto a como una 🌾🌾
2018-07-20 21:37:20,0.03935999877189474,15,6,"Vamos a luchar contra la corrupción, contra los corruptos desde la Municipalidad de Lima, ¡caiga quien caiga! 🌾🌾"
2018-07-21 16:28:33,0.6743587065690245,15,2,"¡Muchas gracias, Surco! Ayer pasamos un buen momento junto a nuestro candidato su equipo de campaña y muchos vecinos surcanos que nos acompañaron a recorrer el mercado Jorge Chavez. 🌾🌾"
2018-07-23 00:57:54,0.20189169186748754,9,4,"En Flor de Amancaes, Rímac, vimos junto a nuestra candidata las indignantes condiciones en que viven los vecinos rimenses. Ellos también merecen que sus autoridades trabajen honestamente más allá de la campaña electoral 🌾🌾"
2018-07-23 16:35:03,0.6989612040828567,8,2,"¡Espectacular, San Luis! A pesar del frío, sentimos el calor de sus vecinos, la alegría de los niños y el cariño de mucha gente. ¡Volveremos pronto! Gracias a nuestro candidato Auner Guzman y a todo su equipo de campaña. 🌾🌾"
2018-07-23 23:19:46,0.05175511552800563,8,2,"Si a mi me compararan con un personaje que ha sido encarcelado por tráfico de drogas y además por manejar en estado de ebriedad, no lo replicaría tan alegremente."
2018-07-24 02:22:56,0.7734549124412451,10,6,¡Más gente se decide por nosotros porque tenemos las mejores propuestas de gobierno para Lima! Lee nuestro plan aquí - 🌾🌾
2018-07-24 02:22:56,0.7734549124412451,10,6,¡Más gente se decide por nosotros porque tenemos las mejores propuestas de gobierno para Lima! Lee nuestro plan aquí - 🌾🌾
2018-07-24 13:08:10,0.1417502450440777,10,5,"¡Buenos días, Lima! Hoy nos vemos en Villa El Salvador y Lurín. Seguimos trabajando como una 🌾🌾"
2018-07-24 14:11:35,0.9987056199808735,1,0,"nos visita en nuestro local de campaña, ultimando detalles antes de salir a recorrer la ciudad. 🌾🌾"
2018-07-24 16:46:47,0.3971370578504071,6,2,Disfrutando el cariño de Lurín
2018-07-24 23:39:57,0.7944140153501048,9,3,Villa El Salvador tiene unos vecinos espectaculares. Gracias por el gran momento que vivimos en el mercado Pachacamac. ¡Regresaremos pronto! 🌾🌾
2018-07-25 03:02:35,0.04557509691566611,9,7,"Los candidatos o partidos políticos que hayan sido favorecidos por parte de deberían renunciar por responsabilidad política, si es que la tienen."
2018-07-25 16:17:06,0.02932124071514199,20,11,"¡Sí se puede hacer política honestamente! De llegar a la Municipalidad de Lima pondremos en evidencia a todos los corruptos, caiga quien caiga. 🌾🌾"
2018-07-25 22:35:00,0.7872814521077486,4,0,Compartimos algunas postales de nuestra visita a Lurín. Gracias a Rosa Torrejón por liderar tan alegre bienvenida. 🌾🌾
