fecha,Positividad,Likes,ReTweets,txt
2018-07-20 14:49:01,0.1771369083858707,11,2,“Pastilla política para levantar la moral”.
2018-07-21 13:55:00,0.526209217844229,26,7,Para ser campeón... Lima necesita “al Hermanón”!!!
2018-07-24 02:37:41,0.9933926851793824,25,5,"Comparto con ustedes algunos de los maravillosos momentos que viví en el Gran Evento Espartano, en El Agustino.: me siento bendecido"
2018-07-26 02:28:39,0.8931211247853423,38,13,“Hemos vuelto después de 18 años con los invisibles y los espartanos. Ahora hemos logrado visibilizarnos en esta justa electoral”.
2018-07-26 15:15:48,0.3538738737738846,43,16,"""Nuestra campaña empezó hace 45 años diciendo la verdad, una verdad que no les gusta escuchar a muchos""."
2018-07-27 11:50:41,0.41666039396597315,16,4,Agregué un video a una lista de reproducción de Marco Aurelio Denegri: El que no ha investigado no
2018-07-27 16:25:41,0.7688965034963305,23,8,"Lamento el fallecimiento de mi gran amigo de toda la vida, Marco Aurelio Denegri. Este es mi mensaje. ¡Descansa en paz!"
2018-07-27 17:25:18,0.14389373387781848,16,4,"Ahora mismo, me dirijo a todos ustedes, por Radio RBC, en los 104.7 FM. Un abrazo."
2018-07-27 20:12:30,0.24214416744523887,46,16,"“Me hice varios cuestionamientos, si yo estaba mal o el país estaba mal y en esa duda, en esa contradicción decidí ser alcalde en 1989, creando el primer movimiento independiente, allí nace Obras"""
2018-07-28 00:21:09,0.04508985584386686,40,15,Hemos sufrido una hecatombe en el seno de las instituciones democráticas del país y no nos hemos dado cuenta.
2018-07-28 13:22:26,0.7667882075467468,30,6,¡Un saludo a todo mi equipo por Fiestas Patrias! ¡Feliz 28 para todos!
2018-07-28 15:51:14,0.1260256977074742,71,17,"“Pregunte usted si yo le quité su mercadería a un ambulante. Les pregunte en un evento en el Hotel Crillón: ¿Qué quieren ustedes? Dijeron trabajar, así que los formalizamos”."
2018-07-31 02:14:03,0.39340534228022644,50,12,"Nunca quise hablar de lo que íbamos a hacer, sino que las obras hablaran por nosotros."
2018-08-01 14:46:27,0.12098079465316215,74,28,"Luchando en todos los campos, en todos los terrenos, sin perder nunca la alegría."
2018-08-01 16:52:15,0.8617574132304111,29,5,"Carlos Alcántara, gran artista y embajador de nuestro arte. Nuestra solidaridad contigo y con Lorenzo."
2018-08-02 17:31:16,0.8515997800119087,51,13,"“La gran obra va a ser construir un nuevo hombre en el Perú"""
2018-08-02 19:05:24,0.012559424537508385,16,4,"Agregué un video a una lista de reproducción de Phillip Butters: ""Nunca he formado parte del"
2018-08-03 15:17:04,0.3478039095420124,73,21,"La gente no se olvida que en cada una de las 500 losas deportivas por lo menos hicimos una “pichanga” alguna vez y dejamos una pastilla que decía: “Cuando veo a un niño jugar, estoy viendo a un hombre triunfar”."
2018-08-04 16:26:38,0.6185451183863583,83,27,"Vamos a aportar a la política, vamos a aportar experiencia, vamos a aportar conocimientos, vamos a buscar a la mejor gente."
2018-08-04 16:26:38,0.6185451183863583,83,27,"Vamos a aportar a la política, vamos a aportar experiencia, vamos a aportar conocimientos, vamos a buscar a la mejor gente."
2018-08-06 17:21:36,0.8945923050395381,82,26,"La tribuna del estadio municipal de chorrilos, fue una obra que se construyó en mi gestión como alcalde de Lima (19…"
2018-08-07 17:57:01,0.9167814925947194,126,49,"El by-pass del ovalo de Higuereta, es una obra cuya planificación y construcción se hizo en mi gestión como alcalde…"
2018-08-15 23:34:41,0.507874534535771,89,30,Estoy calentando cuerpo!!!
2018-08-17 16:54:46,0.8896195136975659,72,19,"Esta noche estaré conversando con el baluarte que tiene nuestra ciudad de Lima para comenzar el auténtico cambio, l…"
2018-08-18 19:38:07,0.29953472663906744,50,13,Hoy estaré 🔴EN VIVO en . Pasen la voz. No se lo pierd…
2018-08-19 03:43:50,0.6283704593409114,12,2,Gracias por la invitación a tu excelente programa.
2018-08-20 02:49:25,0.7073435483577841,224,63,"Lo que se pensó sería una pequeña caminata, terminó en un gran mitin... Muchas gracias por su respaldo y su cariño!…"
2018-08-20 02:54:13,0.6547569077612909,93,17,Hoy en se emitirá un reportaje que me hicieron. No se lo pierdan!
2018-08-20 03:48:45,0.3929890793937655,1,1,Los invito a seguir…
2018-08-20 03:52:52,0.0745126164071831,8,1,Los invito a seguir mis transmisiones en vivo en mi fan page Ricardo Belmont Cassinelli-…
2018-08-20 03:54:55,0.0745126164071831,15,8,Los invito a seguir mis transmisiones en vivo en mi fan page Ricardo Belmont Cassine…
2018-08-20 03:55:20,0.0745126164071831,3,2,Los invito a seguir mis transmisiones en vivo en mi fan page Ricardo Belmont Cassinelli…
2018-08-20 03:59:19,0.0745126164071831,6,1,Los invito a seguir mis transmisiones en vivo en mi fan page Ricardo Belmont Cassi…
2018-08-20 04:02:55,0.6350076682659043,114,21,Muchas gracias!!! Esta campaña nace del corazón del pueblo
2018-08-21 09:49:14,0.32823650481604266,183,58,
2018-08-21 18:16:28,0.007764221780797792,323,85,La campaña sucia ya empezó. Por favor háganme llegar todo lo malo que la prensa del poder fáctico diga sobre mí. TE…
2018-08-26 13:36:48,0.05902542094573924,318,65,"“Mientras más guano me echen, más reverdece mi jardín!!! -Pastilla para levantar la moral”."
2018-08-27 00:54:05,0.0960639907085582,146,28,"Sigue mi transmisión en vivo a través de Fan Page Ricardo Belmont Cassinelli-Página Oficial, para que ningún medio…"
