,source,target,is_a,weight
0,AndreaGRodrigu2,Renzo_Reggiardo,fan,42.6333333333
1,Harrymartcall,Renzo_Reggiardo,fan,111.1
2,wXY8dlYSR2fozno,Renzo_Reggiardo,fan,33.1666666667
3,vikisitaa,Renzo_Reggiardo,fan,84.2
4,Rociostradas,Renzo_Reggiardo,fan,112.9
5,ricardobv77,Renzo_Reggiardo,fan,107.766666667
6,OMdiez,Renzo_Reggiardo,fan,102.4
7,eduflo291070,Renzo_Reggiardo,fan,46.9
8,NicolleEsp,Renzo_Reggiardo,fan,41.3
9,Nasha652Yuri,Renzo_Reggiardo,fan,42.0333333333
10,R1TSY,Renzo_Reggiardo,fan,100.9
11,perujusto1,Renzo_Reggiardo,fan,62.7333333333
12,Buddhainasuit,Renzo_Reggiardo,fan,113.266666667
13,IvonBz,Renzo_Reggiardo,fan,101.366666667
14,grupoodiseasac,Renzo_Reggiardo,fan,73.9
15,paola_piedra,Renzo_Reggiardo,fan,75.8333333333
16,monicaht,Renzo_Reggiardo,fan,88.1
17,ganodermapedido,Renzo_Reggiardo,fan,52.2666666667
18,CarlosE14312405,Renzo_Reggiardo,fan,3.0
19,rousmarya,Renzo_Reggiardo,fan,88.3333333333
20,catherinecar31,Renzo_Reggiardo,fan,57.6333333333
21,heleninhamarisa,Renzo_Reggiardo,fan,112.933333333
22,stefi_esquives,Renzo_Reggiardo,fan,46.5666666667
23,Fernand32400489,Renzo_Reggiardo,fan,8.53333333333
24,paolava05,Renzo_Reggiardo,fan,71.5333333333
25,jennifferlour,Renzo_Reggiardo,fan,66.4666666667
26,lucianaterrne2,Renzo_Reggiardo,fan,34.2
27,Lignystein,Renzo_Reggiardo,fan,90.5666666667
28,OscarMalcaS,Renzo_Reggiardo,fan,82.0
29,cesarpicciotti,Renzo_Reggiardo,fan,103.466666667
30,Manu18x,Renzo_Reggiardo,fan,86.2
31,oscartchong,Renzo_Reggiardo,fan,83.2666666667
32,sodisperu,Renzo_Reggiardo,fan,86.7666666667
33,CORDELAVESAC,Renzo_Reggiardo,fan,72.2666666667
34,Samantha_cdc,Renzo_Reggiardo,fan,47.1
35,CarazasGerardo,Renzo_Reggiardo,fan,54.2
36,Noctambulonoct1,Renzo_Reggiardo,fan,8.36666666667
37,walther_jimenez,Renzo_Reggiardo,fan,68.8333333333
38,elconde_85,Renzo_Reggiardo,fan,92.2333333333
39,ElianhaFA,Renzo_Reggiardo,fan,66.2
40,_greta24,Renzo_Reggiardo,fan,76.3
41,6Cyk23,Renzo_Reggiardo,fan,48.1
42,juanespinoza93,Renzo_Reggiardo,fan,34.0666666667
43,pabloga24340658,Renzo_Reggiardo,fan,48.7
44,Segundomarsial,Renzo_Reggiardo,fan,30.2666666667
45,gladysb29080846,Renzo_Reggiardo,fan,17.4
46,alfonsozav,Renzo_Reggiardo,fan,52.8666666667
47,christianverah,Renzo_Reggiardo,fan,106.6
48,MaraAle93718096,Renzo_Reggiardo,fan,8.0
49,maritarutte,Renzo_Reggiardo,fan,80.1333333333
50,TheHUnterX4,Renzo_Reggiardo,fan,6.23333333333
51,kiara03,Renzo_Reggiardo,fan,102.466666667
52,Natitaflores98,Renzo_Reggiardo,fan,5.4
53,cmorocho28,Renzo_Reggiardo,fan,64.5666666667
54,SindicatoMixto,Renzo_Reggiardo,fan,71.7
55,jza1895,Renzo_Reggiardo,fan,36.9333333333
56,HenryTanta,Renzo_Reggiardo,fan,102.2
57,VICTORJAIMES191,Renzo_Reggiardo,fan,40.2333333333
58,erika_deza,Renzo_Reggiardo,fan,100.333333333
59,VeraJcvera,Renzo_Reggiardo,fan,71.8666666667
60,karina1dextre,Renzo_Reggiardo,fan,69.3
61,FaretCentti,Renzo_Reggiardo,fan,90.9
62,josecruz154,Renzo_Reggiardo,fan,101.066666667
63,NancyVillavi,Renzo_Reggiardo,fan,10.2666666667
64,mdcmmr,Renzo_Reggiardo,fan,82.3666666667
65,omarhuapaya,Renzo_Reggiardo,fan,64.0666666667
