,source,target,is_a,weight
0,Teodulo_alban,RicardoBelmontC,fan,58.4
1,mangelrome21,RicardoBelmontC,fan,49.1
2,imperator20,RicardoBelmontC,fan,88.1333333333
3,victorapuqd,RicardoBelmontC,fan,64.3333333333
4,VALORESLIBERTAD,RicardoBelmontC,fan,64.1
5,EYzhab,RicardoBelmontC,fan,92.3333333333
6,Cindypegodos,RicardoBelmontC,fan,90.9333333333
7,Augusto31987925,RicardoBelmontC,fan,0.4
8,castillej_vega,RicardoBelmontC,fan,10.7333333333
9,LilyanaCollazos,RicardoBelmontC,fan,24.3333333333
10,richardteeo,RicardoBelmontC,fan,16.1
11,carloslucar,RicardoBelmontC,fan,111.366666667
12,jan_heavy,RicardoBelmontC,fan,102.333333333
13,P_VichezAyllon,RicardoBelmontC,fan,2.5
14,Z_carlos01,RicardoBelmontC,fan,94.0
15,2012JUANUCHO,RicardoBelmontC,fan,78.7333333333
16,EncinasBetsabe,RicardoBelmontC,fan,66.5333333333
17,charitoroga,RicardoBelmontC,fan,12.6666666667
18,edgar_rusbel,RicardoBelmontC,fan,33.3
19,MichelleNg810,RicardoBelmontC,fan,0.166666666667
20,Daniel26866299,RicardoBelmontC,fan,45.1
21,Jhonatan_JRS,RicardoBelmontC,fan,0.533333333333
22,abraham_pz,RicardoBelmontC,fan,108.433333333
23,HermiasWalter,RicardoBelmontC,fan,5.16666666667
24,tadokolo79,RicardoBelmontC,fan,31.7
25,RenzoDeLince,RicardoBelmontC,fan,88.3333333333
26,MendozaTacanga,RicardoBelmontC,fan,9.23333333333
27,SithWalrus,RicardoBelmontC,fan,113.9
28,oa4bjuperu,RicardoBelmontC,fan,57.5
29,delurens,RicardoBelmontC,fan,109.1
30,JCRamirezD,RicardoBelmontC,fan,83.0666666667
31,VLADIMIR_CERRON,RicardoBelmontC,fan,78.8
32,cesar4600,RicardoBelmontC,fan,68.9333333333
33,JoseADiaz03,RicardoBelmontC,fan,29.1
34,guillervasquez,RicardoBelmontC,fan,89.2
35,srsalasb,RicardoBelmontC,fan,30.7666666667
36,elizamin45,RicardoBelmontC,fan,33.4333333333
37,NzTorres,RicardoBelmontC,fan,63.8
38,dvalcarcelr,RicardoBelmontC,fan,44.8333333333
39,vhdiazv,RicardoBelmontC,fan,32.9666666667
40,JuanPablo_2050,RicardoBelmontC,fan,21.2666666667
41,ric24g,RicardoBelmontC,fan,97.6333333333
42,agriacultura,RicardoBelmontC,fan,69.2
43,escritormanuel7,RicardoBelmontC,fan,45.3666666667
44,MiguelA70002288,RicardoBelmontC,fan,3.83333333333
45,lineadepiedra,RicardoBelmontC,fan,45.7
46,coquidiaz78,RicardoBelmontC,fan,86.8666666667
47,edpescio,RicardoBelmontC,fan,94.4333333333
48,ricrepetto,RicardoBelmontC,fan,55.5333333333
49,Mercedes_Sbj,RicardoBelmontC,fan,84.0666666667
50,AntonyHb27,RicardoBelmontC,fan,9.0
51,Heduardito26,RicardoBelmontC,fan,72.3333333333
52,marcialjesu,RicardoBelmontC,fan,58.0
53,antonel164,RicardoBelmontC,fan,9.8
54,tomas_lopez26,RicardoBelmontC,fan,46.5333333333
55,chapatucleta,RicardoBelmontC,fan,57.3333333333
56,SweetDreamsHome,RicardoBelmontC,fan,64.5333333333
57,stefano_forzani,RicardoBelmontC,fan,29.6666666667
58,MontoyaCarpio,RicardoBelmontC,fan,3.63333333333
59,NewsDelPeru,RicardoBelmontC,fan,65.3
60,Cesar72662377,RicardoBelmontC,fan,0.666666666667
61,Gc09931930,RicardoBelmontC,fan,24.3333333333
62,EmmaRos23566275,RicardoBelmontC,fan,25.1
63,LaMoraRodriguez,RicardoBelmontC,fan,43.2333333333
64,cualdana,RicardoBelmontC,fan,87.4
65,19080916,RicardoBelmontC,fan,51.0
66,osiesc,RicardoBelmontC,fan,32.9666666667
