,source,target,is_a,weight
0,Renzo_Reggiardo,ConnieScheuerma,friend,93.1
1,Renzo_Reggiardo,mario_hart,friend,85.9333333333
2,Renzo_Reggiardo,monvalpa,friend,112.2
3,Renzo_Reggiardo,digitaltvperu1,friend,21.2666666667
4,Renzo_Reggiardo,mabel_huertas,friend,112.966666667
5,Renzo_Reggiardo,MadeleineOster3,friend,15.2333333333
6,Renzo_Reggiardo,ricaldetualcald,friend,9.86666666667
7,Renzo_Reggiardo,MartinVizcarraC,friend,31.8333333333
8,Renzo_Reggiardo,Phill_Butters,friend,54.1
9,Renzo_Reggiardo,gaston_acurio,friend,113.766666667
10,Renzo_Reggiardo,peru21politica,friend,51.7666666667
11,Renzo_Reggiardo,UlisesVillegaso,friend,7.8
12,Renzo_Reggiardo,eldiarionegro,friend,86.5
13,Renzo_Reggiardo,luisiberico,friend,110.033333333
14,Renzo_Reggiardo,AlcaldesaSandra,friend,3.53333333333
15,Renzo_Reggiardo,VeroOspinaTV,friend,51.6
16,Renzo_Reggiardo,Sedapal,friend,109.633333333
17,Renzo_Reggiardo,aleskrause,friend,84.5666666667
18,Renzo_Reggiardo,huku_pe,friend,8.33333333333
19,Renzo_Reggiardo,PedSuarezVertiz,friend,107.633333333
20,Renzo_Reggiardo,sergioaraujoc,friend,89.7333333333
21,Renzo_Reggiardo,Minsa_Peru,friend,101.5
22,Renzo_Reggiardo,FredyOtarola,friend,110.1
23,Renzo_Reggiardo,ceba_marco,friend,16.6333333333
24,Renzo_Reggiardo,TartufieFunghi,friend,67.3666666667
25,Renzo_Reggiardo,RadioSanBorja,friend,102.766666667
26,Renzo_Reggiardo,RPPNoticias,friend,133.1
27,Renzo_Reggiardo,EdithGonzalezMx,friend,92.5333333333
28,Renzo_Reggiardo,canalN_,friend,92.0333333333
29,Renzo_Reggiardo,pvecinalperu,friend,24.4666666667
30,Renzo_Reggiardo,LurinValladares,friend,3.4
31,Renzo_Reggiardo,enpuntomuni,friend,104.1
32,Renzo_Reggiardo,elcomercio_peru,friend,93.2333333333
33,Renzo_Reggiardo,ACTransparencia,friend,109.666666667
34,Renzo_Reggiardo,JulianaBonde201,friend,29.6333333333
35,Renzo_Reggiardo,AdolfoOcampoPPS,friend,3.16666666667
36,Renzo_Reggiardo,PPSLaVictoria18,friend,3.36666666667
37,Renzo_Reggiardo,OmarChehadeMoya,friend,85.7333333333
38,Renzo_Reggiardo,mgarciafreundt,friend,64.3
39,Renzo_Reggiardo,Rescribens,friend,80.7
40,Renzo_Reggiardo,MavilaHuertasC,friend,14.5
41,Renzo_Reggiardo,NorbertoRossi7,friend,13.8
42,Renzo_Reggiardo,RobertoARullier,friend,4.63333333333
43,Renzo_Reggiardo,2018Ntv,friend,80.7333333333
44,Renzo_Reggiardo,Jimmychinchay,friend,109.5
45,Renzo_Reggiardo,laurapuertas,friend,112.366666667
46,Renzo_Reggiardo,el_quinto_poder,friend,84.5666666667
47,Renzo_Reggiardo,POLITAI,friend,102.733333333
48,Renzo_Reggiardo,barvelez,friend,92.7666666667
49,Renzo_Reggiardo,YehudeSimonM,friend,111.0
50,Renzo_Reggiardo,alfonsobaella,friend,112.033333333
51,Renzo_Reggiardo,DanielPalam,friend,103.266666667
52,Renzo_Reggiardo,hurtadocesarr,friend,62.0333333333
53,Renzo_Reggiardo,marbodero,friend,30.5666666667
54,Renzo_Reggiardo,RafaelSantosPPS,friend,2.8
55,Renzo_Reggiardo,antoinette_anto,friend,108.833333333
56,Renzo_Reggiardo,Ojo_Publico,friend,51.0
57,Renzo_Reggiardo,IMASEN_peru,friend,72.9333333333
58,Renzo_Reggiardo,javierdiez22,friend,52.1333333333
59,Renzo_Reggiardo,Gidareq,friend,100.8
60,Renzo_Reggiardo,fzavalal,friend,113.8
61,Renzo_Reggiardo,esquinabaja,friend,116.666666667
62,Renzo_Reggiardo,TaniaSD07,friend,4.5
63,Renzo_Reggiardo,alsextodia,friend,91.9666666667
64,Renzo_Reggiardo,SchullerRenzoOF,friend,55.6
65,Renzo_Reggiardo,giuliantartufi,friend,49.6666666667
66,Renzo_Reggiardo,KatiaPalmaM,friend,78.2
67,Renzo_Reggiardo,VictorAndresGB,friend,76.6
68,Renzo_Reggiardo,EstherCapunay,friend,84.0333333333
69,Renzo_Reggiardo,NormaYarrow1,friend,9.83333333333
70,Renzo_Reggiardo,r_miranda28,friend,85.9
71,Renzo_Reggiardo,moranlolita,friend,99.1666666667
72,Renzo_Reggiardo,sandyppss,friend,4.3
73,Renzo_Reggiardo,Gestionpe,friend,104.366666667
74,Renzo_Reggiardo,SeleccionPeru,friend,67.5333333333
75,Renzo_Reggiardo,Latina_pe,friend,97.1666666667
76,Renzo_Reggiardo,RaquelStolar,friend,103.6
77,Renzo_Reggiardo,claudiacisneros,friend,114.066666667
78,Renzo_Reggiardo,alex_vonehren,friend,93.4
79,Renzo_Reggiardo,tabatalibre,friend,79.8666666667
80,Renzo_Reggiardo,perlaberrios,friend,92.9
81,Renzo_Reggiardo,hmacbride2018,friend,83.5333333333
82,Renzo_Reggiardo,IDEA_int_Peru,friend,30.3666666667
83,Renzo_Reggiardo,CCDMunicipal,friend,81.7
84,Renzo_Reggiardo,DitelColumbus,friend,41.5666666667
85,Renzo_Reggiardo,DannyChininin,friend,109.033333333
86,Renzo_Reggiardo,jceguren,friend,106.9
87,Renzo_Reggiardo,malditaternura,friend,91.1
88,Renzo_Reggiardo,TiconaBeto,friend,3.16666666667
89,Renzo_Reggiardo,cesarrossi18,friend,109.066666667
90,Renzo_Reggiardo,yamilaosorio,friend,83.1333333333
91,Renzo_Reggiardo,ADiezGol,friend,73.3333333333
92,Renzo_Reggiardo,PorTiLosOlivos,friend,48.5
93,Renzo_Reggiardo,LauraCNNT,friend,108.933333333
94,Renzo_Reggiardo,saldelsol,friend,111.633333333
95,Renzo_Reggiardo,ppkamigo,friend,112.233333333
96,Renzo_Reggiardo,Betoperalta2018,friend,61.3
97,Renzo_Reggiardo,Paola310,friend,112.9
98,Renzo_Reggiardo,caleruggeri,friend,46.5666666667
99,Renzo_Reggiardo,rmapalacios,friend,103.433333333
100,Renzo_Reggiardo,MelissaPeschier,friend,77.4666666667
101,Renzo_Reggiardo,RenzopeOficial,friend,3.56666666667
102,Renzo_Reggiardo,salvajedigital,friend,109.733333333
103,Renzo_Reggiardo,LDavelouis,friend,85.9
104,Renzo_Reggiardo,Latina_Fans,friend,55.4333333333
105,Renzo_Reggiardo,pps_peru,friend,4.73333333333
106,Renzo_Reggiardo,chicharronpress,friend,38.8666666667
107,Renzo_Reggiardo,rafaelsantosn,friend,102.866666667
108,Renzo_Reggiardo,tuesta,friend,118.466666667
109,Renzo_Reggiardo,CesarGentille,friend,2.03333333333
110,Renzo_Reggiardo,roselloeduardom,friend,7.53333333333
111,Renzo_Reggiardo,MicaCiccotosto_,friend,62.9666666667
112,Renzo_Reggiardo,amaliarebelde,friend,53.3
113,Renzo_Reggiardo,deepwebers,friend,88.2333333333
114,Renzo_Reggiardo,katrina_010_,friend,15.4333333333
115,Renzo_Reggiardo,jesusgalvezpps,friend,6.83333333333
116,Renzo_Reggiardo,123_123_er,friend,67.2666666667
117,Renzo_Reggiardo,RaulRuidiazM,friend,79.4333333333
118,Renzo_Reggiardo,americatv_peru,friend,96.8
119,Renzo_Reggiardo,OEA_oficial,friend,92.5
120,Renzo_Reggiardo,pacobazan_,friend,85.2
121,Renzo_Reggiardo,carlosaranaviva,friend,92.6666666667
122,Renzo_Reggiardo,jmirandaalcalde,friend,10.3
123,Renzo_Reggiardo,Biberto,friend,99.7666666667
124,Renzo_Reggiardo,Rating90,friend,41.0333333333
125,Renzo_Reggiardo,Capital967,friend,115.766666667
126,Renzo_Reggiardo,alexis_villaran,friend,4.66666666667
127,Renzo_Reggiardo,alvarodaygame,friend,84.6
128,Renzo_Reggiardo,walteroyarce_D,friend,58.0
129,Renzo_Reggiardo,CarlosCornejoA,friend,93.3
130,Renzo_Reggiardo,PulsoMunicipalI,friend,10.7333333333
131,Renzo_Reggiardo,enriquedupuyg,friend,57.7333333333
132,Renzo_Reggiardo,vanesitaruas,friend,82.5666666667
133,Renzo_Reggiardo,ErlySmp,friend,4.0
134,Renzo_Reggiardo,Mauriciomulder,friend,93.0666666667
135,Renzo_Reggiardo,jesiquina,friend,118.466666667
136,Renzo_Reggiardo,salazarsumar,friend,75.7666666667
137,Renzo_Reggiardo,DeltaMdelta,friend,44.1
138,Renzo_Reggiardo,Encuestaspe,friend,12.3
139,Renzo_Reggiardo,Caretas,friend,112.433333333
140,Renzo_Reggiardo,carlaharada,friend,93.7666666667
141,Renzo_Reggiardo,AleBaigorria1,friend,78.9333333333
142,Renzo_Reggiardo,GuidoInigo,friend,34.2
143,Renzo_Reggiardo,chauca_shirley,friend,4.66666666667
144,Renzo_Reggiardo,AlcaldeSjl,friend,3.4
145,Renzo_Reggiardo,cachinalcantara,friend,96.9666666667
146,Renzo_Reggiardo,litolobo,friend,119.9
147,Renzo_Reggiardo,EtiquetaAzulTV,friend,16.4666666667
148,Renzo_Reggiardo,CNNEE,friend,113.933333333
149,Renzo_Reggiardo,DepMunicipal,friend,91.9333333333
150,Renzo_Reggiardo,beTToGuiLLeN,friend,89.4
151,Renzo_Reggiardo,MaihenH,friend,62.2
152,Renzo_Reggiardo,Lima_ECpe,friend,62.1333333333
153,Renzo_Reggiardo,hzevallosleon,friend,59.5666666667
154,Renzo_Reggiardo,magdaterry,friend,102.766666667
155,Renzo_Reggiardo,ExpresoPeru,friend,93.9666666667
156,Renzo_Reggiardo,reynaga_alfredo,friend,9.4
157,Renzo_Reggiardo,M_Cuadros_G,friend,78.7666666667
158,Renzo_Reggiardo,jessicacediel,friend,103.233333333
159,Renzo_Reggiardo,alexandrahorler,friend,81.4666666667
160,Renzo_Reggiardo,Joselin_delsan,friend,5.66666666667
161,Renzo_Reggiardo,DiarioUnoPeru,friend,109.9
162,Renzo_Reggiardo,Ibetd,friend,102.5
163,Renzo_Reggiardo,bao_raul,friend,63.7666666667
164,Renzo_Reggiardo,markofelix,friend,107.2
165,Renzo_Reggiardo,PulsoMunicipal,friend,11.0666666667
166,Renzo_Reggiardo,MicheilleSoifer,friend,102.4
167,Renzo_Reggiardo,cevalenzuelav,friend,33.7
168,Renzo_Reggiardo,PedroFe50855698,friend,3.43333333333
169,Renzo_Reggiardo,LaFactoria_Peru,friend,25.3
170,Renzo_Reggiardo,VeroLinaresC,friend,102.166666667
171,Renzo_Reggiardo,24HorasMD,friend,72.9
172,Renzo_Reggiardo,PoliciaPeru,friend,95.0333333333
173,Renzo_Reggiardo,catherine_fulop,friend,99.8666666667
174,Renzo_Reggiardo,valiabarak,friend,112.433333333
175,Renzo_Reggiardo,rodgonzalezl,friend,103.433333333
176,Renzo_Reggiardo,CNN,friend,140.666666667
177,Renzo_Reggiardo,AlbertoBelaunde,friend,121.666666667
178,Renzo_Reggiardo,leydelacalle,friend,102.5
179,Renzo_Reggiardo,VaniiaBlludau,friend,70.8333333333
180,Renzo_Reggiardo,Alto_Al_Crimen,friend,66.0333333333
181,Renzo_Reggiardo,DaleskaTovar3,friend,28.2666666667
182,Renzo_Reggiardo,Publimetrope,friend,89.2333333333
183,Renzo_Reggiardo,JesusAlzamora,friend,90.9333333333
