fecha,idT,Likes,ReTweets,Positividad,txt
2018-09-02 21:14:13,1036361680396185606,60,9,0.030613812746566504,"Semana intensa en Lima Este. De lunes a miércoles en SJL. El viernes en Ate, ayer en Chaclacayo y hoy linda caminata en Chosica. Eliminando corrupción, disminuyendo el crimen, logrando una movilidad sostenible y con lograremos una"
2018-09-02 21:14:13,1036361680396185606,60,9,0.030613812746566504,"Semana intensa en Lima Este. De lunes a miércoles en SJL. El viernes en Ate, ayer en Chaclacayo y hoy linda caminata en Chosica. Eliminando corrupción, disminuyendo el crimen, logrando una movilidad sostenible y con lograremos una"
2018-09-02 22:24:54,1036379466749161473,61,16,0.19124249794962592,"Semana intensa en Lima Este. Comenzamos en SJL de lunes a miercoles. El viernes en Ate, ayer Chaclacayo y hoy gran caminata en Chosica. Gracias a todos por escuchar y por el cariño recibido."
2018-09-03 02:47:58,1036445671249911810,4,1,0.7420240616524139,Barrio de mi abuelo. Ya voy
2018-09-03 13:25:54,1036606209309241344,117,23,0.22855599934267481,Nuestra en manos de Dios en este momento. Él actúa a través del Dr. Henry Pacheco. Sumemos oraciones. Ella entró a la intervención llena de fe y va a salir bien.
2018-09-03 21:24:53,1036726751244763136,202,27,0.5230945188663875,"Yola en UCI. Ella es re fuerte y el médico el jor, pero hay que esperar 24 horas antes de cantar victoria. Mantengamos la cadena de oración por ella."
2018-09-04 20:44:59,1037079096633778176,84,14,0.07013119416991642,"dejó UCI y pasó a cuarto. Está agradecida al Grupo Trelles jefe de neurocirugía, al Dr. Henry Pacheco por su profesionalismo y al personal que está pendiente de ella en todo momento. Y agradece a todo el Perú por sus muestras de cariño. En minutos declara el médico"
2018-09-05 18:20:00,1037405000803278848,299,84,0.7448166908131655,Este es un buen resumen de algunas de nuestras principales ideas para lograr una
2018-09-06 00:23:36,1037496500820041728,89,23,0.06723688768119059,Hoy almorcé con las madres del vaso de leche. Ellas saben quién les miente y quién les habla con la verdad. Firmados están mis 6 compromisos con ellas. Los niños primero.
2018-09-06 07:14:06,1037599807999815680,162,12,0.6417864170173383,Lo extrañamos todos
2018-09-06 07:50:18,1037608917025599488,1,0,0.08122169112333959,"Ayúdame, pasa la voz. Que el poder del dinero no vuelva a imponerse"
2018-09-06 07:51:14,1037609154515554304,1,0,0.39979006127466254,Potsupuesto. Está en el plan. Esto es solo un resumen
2018-09-06 07:53:37,1037609751310475264,0,0,0.7470453418727396,De acuerdo
2018-09-06 07:57:14,1037610662367846400,2,0,0.4386715812711571,En Ancón debe estar el tetminal terrestre del norte. Y hasta allí debe llegar la línea 3 del Metro.
2018-09-06 07:57:40,1037610772753539072,1,0,0.33163247024139636,Ayúdame a difundirla
2018-09-06 07:59:04,1037611123766439936,4,1,0.694896332683055,Merece ser feliz. Y eso es imposible sin seguridad. Es lo primero
2018-09-06 08:02:54,1037612090066968576,4,2,0.2216268059986907,Bueno leerte y saber de ti. Muchas de las cosas q aprendí de unidos contra el crimen está en mi propuesta. Ayúdanos rebotándola.
2018-09-06 17:51:11,1037760133672198144,26,3,0.03774040877286431,"Los 11 de Perú que vuelve a la cancha en una hora: Gallese; Advíncula, Ramos, Santamaría, Trauco; Aquino, Yotún; Carrillo, Cueva, Loyola y Farfán. A la 1.15pm abrimos comentarios previos por facebook live de"
2018-09-06 18:55:37,1037776349082083328,100,7,0.21994277631127546,"¿Por qué no pateaste Carrillo? Allí se define, no se pasa la pelota."
2018-09-06 19:00:51,1037777665166594049,5,0,0.2456241855796325,Bien Farfán en primera. Bien el arquero
2018-09-06 19:00:51,1037777665166594049,5,0,0.2456241855796325,Bien Farfán en primera. Bien el arquero
2018-09-06 19:02:25,1037778061377380352,51,7,0.535141599021722,"Golllll Aquino de cabeza a los 12. Buen centro del córner y muy bien Aquino ganando la posición. Tres llegadas de Perú, un gol. Ninguna de Holanda. Buen comienzo."
2018-09-06 19:18:15,1037782047463493634,4,0,0.7169762985831365,Primera clara de Holanda en 28 minutos. Se quedó defensa peruana y Depay erró con arco a disposición
2018-09-06 19:22:47,1037783186003161089,4,0,0.3946343966237911,2da. de Holanda. Zurdazo de Blind. Tras el.gol hemos perdido la pelota.
2018-09-06 19:25:14,1037783805363453952,1,0,0.2784624309029162,"Esta vez Sneijder la mandó a las nubes. 3ra de Holanda, ojo."
2018-09-06 19:54:33,1037791182288498689,12,0,0.2595210202820533,"Qué gran comienzo. En segundos de inicio, Trauco de derecha iba a hacer golazo y de allí seguidilla ofensiva con varias opciones y lucimiento de arquero."
2018-09-06 19:54:49,1037791246591426562,2,0,0.38846992960076515,Otra vez Perú a los 2 del 2do Farfán.
2018-09-06 19:56:16,1037791612707987457,1,0,0.24751122173607473,"3 minutos, vuelto de Holanda. Bien Gallese en su palo."
2018-09-06 20:01:45,1037792994374701058,1,0,0.36545487644322744,"Vormer falla dos seguidas. Esta segunda, solo. Golpe a golpe ha comenzado el complemento."
2018-09-06 20:09:19,1037794897737273346,6,2,0.023336712456272835,14 del segundo. Falla Perú en salida. Sandoval mal en su primera jugándola por el medio y Aquino en el control. Gol de Depay definiendo solo. 1-1.
2018-09-06 20:11:31,1037795449812512775,1,1,0.4670427868267272,Insiste Holanda. Tres buenas de Gallese.
2018-09-06 20:15:18,1037796402884165637,2,1,0.006965183601937225,Calcaterra por Carrillo. Antes fue Sndoval por Trauco
2018-09-06 20:24:48,1037798792479875072,2,0,0.7328375471496297,Ahora veremos a Abraham por Satamaria.
2018-09-06 20:25:21,1037798930455642112,12,0,0.36785971695271724,Le estan ganando espaldas a Loyola hace rato.
2018-09-06 20:26:50,1037799307200655362,5,0,0.2019374309603992,"Peña.por Aquino. Es más ofensivo. Hace rato manda Holanda, hay que recuperarla y jugar."
2018-09-06 20:31:19,1037800432817586177,15,0,0.01330618025333564,Se adelantó Perú y en contragolpe perdimos. 2-1. Las dos veces nos agarraron mal paeados.
2018-09-06 20:35:55,1037801593377316864,3,0,0.541333260777616,Cartagena por Yotun
2018-09-06 20:36:50,1037801820784082944,3,0,0.12049153355169046,Farfán tuvo el empate de cabeza. Se la taparon bien.
2018-09-06 21:54:58,1037821484285272064,729,57,0.1108338151927363,"Yola salió de alta. Sana, contenta y agradecida con médicos, personal de la clinica, prensa preocupada y los miles que sumaron sus oraciones e hicieron sentir su afecto. Ahora debe guardar reposo absoluto en su casa. En pocos días la tendremos como siempre, dirigiéndose a todos."
2018-09-07 21:14:12,1038173615022399488,57,11,0.07546065584064507,"Con fe Javier. Ya conoces la historia de las encuestas. La honestidad tiene que derrotar a la corrupción. En los próximos 30 días, Lima necesita volver a creer que sí se puede. Ayúdame a lograrlo."
2018-09-07 21:14:12,1038173615022399488,57,11,0.07546065584064507,"Con fe Javier. Ya conoces la historia de las encuestas. La honestidad tiene que derrotar a la corrupción. En los próximos 30 días, Lima necesita volver a creer que sí se puede. Ayúdame a lograrlo."
2018-09-08 05:35:07,1038299674791305216,47,12,0.8444397032582313,Me sumo al homenaje
2018-09-08 13:05:23,1038412988456349696,0,0,0.32823650481604266,68
2018-09-08 19:01:10,1038502523630497792,92,17,0.23011586883665502,Dejando Manchay. Rumbo a Lurín. Caminando por ina
2018-09-09 14:20:32,1038794285326520320,63,6,0.30173197724537426,Hoy jugamos otra vez ¡Vamos Perú!
2018-09-09 14:28:30,1038796290736447488,2,0,0.34945190324160763,1.45pm.
2018-09-09 17:42:07,1038845018994368513,43,10,0.09256727377048396,Hoy desde la 1.15pm la previa del Perú-Alemania por facebooklive en la página de Goles en Acción. Luego los comentarios de entretiempo y al final del partido. Los comentarios durante el juego los haremos por este tweeter. Hoy en directo desde la Plaza de Armas.
2018-09-09 18:59:16,1038864433014091777,12,1,0.5392633857114142,Primeros 10. Alemania aprieta y exige a Perú. Buena prueba
2018-09-09 19:01:24,1038864968874115074,6,0,0.01912118434875459,No puede cabecearnos tan solo
2018-09-09 19:08:22,1038866721338281984,4,0,0.06492898661805549,"Si nos están ajustando así, no se puede salir por el centro llevando lento."
2018-09-09 19:12:21,1038867726218022912,21,1,0.020235633103475,"22' Advincula. No habia aparecido todavia. Llegó, explotó como solo él y pateó cono se debe. Alli hay que patear."
2018-09-09 19:13:08,1038867921886474241,10,0,0.5993408494218007,Muy rápido el.empate
