fecha,idT,Likes,ReTweets,Positividad,txt
2018-09-24 02:14:31,1044047396689391616,139,37,0.3341159600212128,"En vivo en el programa ""Agenda Política"" por Hablaremos sobre el Debate Municipal y otros temas de interés."
2018-09-24 03:45:06,1044070191351681024,227,91,0.11810398650813453,"¡Seguimos chambeando! Hoy estuvimos en en el distrito de junto a nuestra Lideresa y nuestro candidato “Haremos de Lima una ciudad que se ponga al servicio de vecinos, sobre todo de los que menos tienen y más necesitan de sus autoridades”"
2018-09-24 15:45:53,1044251582764908544,272,106,0.22411404112472696,“El techo es un derecho y por ello nos enfocaremos en gestionar la titulación de los cientos de miles de hogares limeños que aún no han formalizado su propiedad”. Emotivo encuentro vecinal junto a nuestra lideresa y nuestra candidata
2018-09-24 23:45:50,1044372366950912002,232,114,0.3153098301228708,"Los menores de edad no deben ni pueden realizar apuestas en locales de juegos de azar. Las autoridades tienen que fiscalizar estos locales y, de ser el caso, sancionar a quienes permiten esta situación y si es necesario fortalecer la normativa existente."
2018-09-25 06:04:32,1044467668164771840,115,44,0.08410479511467944,"Excelente entrevista de Dejó en evidencia las falencias de Éste no tuvo argumentos, así como tampoco propuestas para En la memoria de los limeños quedará grabada esta imagen:"
2018-09-25 13:19:28,1044577126211624960,153,54,0.15180394636597339,Hoy participaré como expositor en el Foro de Seguridad Ciudadana en la Hablaremos sobre nuestras propuestas en y demostraremos que tenemos el mejor plan para
2018-09-25 15:25:04,1044608733777711104,248,109,0.11927273720839286,Esto ocurre cuando no se conocen los problemas reales de Lima. En la poner al ciudadano delante significa ejecutar obras que necesitan hace décadas. Haremos una lo que implica desaparecer la brecha de desigualdad que hoy existe.
2018-09-25 20:19:31,1044682834252836869,9,0,0.18862061223804172,Escuche con detenimiento. Hablo de los gerentes que son cargos de confianza. Slds.
2018-09-25 20:32:16,1044686041230323712,184,79,0.17412005632406966,"“El problema de inseguridad no solo se reduce a la falta de patrulleros y temas logísticos, sino principalmente a la falta de autoridad y decisión política para hacer los cambios que Lima necesita”. Hoy en el Foro de Seguridad Ciudadana organizado por la"
2018-09-26 16:47:39,1044991905753419776,177,81,0.4498352769216974,"Estuvimos con los vecinos del AAHH ""El Paraíso"" en y les explicamos como gestionaremos la…"
2018-09-26 18:59:41,1045025131175833600,410,187,0.2849493100282744,La necesita obras y más obras y eso haremos los próximos cuatro años. Si queremos una
2018-09-26 23:18:30,1045090262375165953,188,95,0.22060452393225782,Esta parte de Carabayllo se llama “El Progreso” y creo que su nombre representa el coraje de sus vecinos más que el…
2018-09-27 02:39:44,1045140905076887554,230,91,0.26471570381152254,Acabamos nuestra visita a La Libertad de Motupe en Los vecinos nos pidieron luchar frontalmente contra los tr…
2018-09-27 12:59:10,1045296792773029888,173,50,0.7008453972074277,"En breve estaré en Buenos Días PERÚ, vía"
2018-09-27 23:32:25,1045456153705099264,465,228,0.004537016972922186,“El Estado de la cosas hoy permite que un denigre y ataque a las mujeres y no esté preso...” P.D. Lo que…
2018-09-28 02:42:11,1045503909870137344,245,86,0.35543939207867337,Mañana estaré en vivo en el programa con Jesús Miguel Calderón a las 7:30 a.m. en Segui…
