fecha,idT,Likes,ReTweets,Positividad,txt
2018-09-24 00:24:13,1044019637074219010,63,47,0.011650209890710235,"Yo veo una Lima sin corrupción, la Municipalidad no es un negocio."
2018-09-24 00:58:37,1044028296369967114,60,55,0.7976848524046376,Trabajaremos juntos por los vecinos de Lima es necesario conocer las zonas vulnerables de nuestra ciudad.
2018-09-24 01:06:37,1044030307954020352,86,72,0.005301581872353721,El triste recurso recurso de Zurek tratando de minimizar a la mujer no me ofende solo a mí. Violencia machista inaceptable.
2018-09-24 19:22:45,1044306158847229952,73,45,0.1682632582752494,El ganador del debate fue el elector que hoy conoce un poco más de nuestras propuestas y el gran perdedor el candid…
2018-09-25 16:53:36,1044631013371064323,44,32,0.009882097457270344,Si no tienes los pantalones para enfrentar una campaña y sobre todo para responder porque lucras con las víctimas d…
2018-09-25 18:09:01,1044649993498480640,51,52,0.2148722388184074,"Cree en tí mismo! El cambio es posible, la oportunidad está en nosotros. Este 7 de octubre marca la V de la Verdad…"
2018-09-27 00:37:14,1045110077663977472,79,50,0.09515376386117613,"Por favor, un médico para el candidato Belmont. Sus niveles de falta de respeto a la mujer y a la audiencia son sín…"
2018-09-27 00:45:28,1045112151734734855,4,2,0.32823650481604266,
2018-09-27 12:32:32,1045290087750279168,44,33,0.017158216092015954,¿Cansada de los candidatos corruptos?.
2018-09-27 17:08:16,1045359478173040646,42,30,0.3502629040199297,: Implementaremos 43 comisarías de mujeres. Nada mejor que una mujer para entenderte y ap…
2018-09-27 20:39:55,1045412742725857280,39,34,0.00934405138523207,: La nueva tarifa del peaje será 3 soles. Tú no puedes seguir pagando por la ineficiencia…
2018-09-28 16:03:15,1045705504591400961,41,47,0.22684543960678244,Muchas gracias por la entrevista ✌
2018-09-28 21:02:23,1045780786581000193,49,38,0.5326082634668053,Muchas gracias por permitirme hacer llegar a mis vecinos mis propuestas de cambio.
2018-09-29 19:41:43,1046122874522808320,20,32,0.3018531678754785,"Seguimos trabajando por Lima, a nosotros nadie nos detiene✌"
