fecha,idT,Likes,ReTweets,Positividad,txt
2018-07-16 15:16:56,1018877146566201344,305,163,0.05280687865388592,"18 meses más de perder tiempo en el tráfico, 18 meses más de muertos en las pistas, 18 más de oriones y chosicanos. Y ¿dónde está el alcalde Castañeda? Pintando la ciudad de amarillo con los impuestos de todos."
2018-07-16 21:06:42,1018965168427020288,39,13,0.4441101287249135,"Desde la esperanza. Vamos recorriendo Lima, encontrándonos con miles de vecinos dispuestos a luchar y construir una nueva ciudad. Conversando con los jóvenes de Lurín me quedó claro: somos ciudadanos que seguimos avanzando aunque intenten frenarnos los que no nos representan."
2018-07-17 13:55:32,1019219049409019904,60,34,0.009163042433402706,"Mientras los limeños trabajamos duro cada día y cumplimos con la Ley, regala permisos de transporte a empresas que lo único que hacen es matarnos y dar un servicio indigno. ¿Se sigue pagando favores?"
2018-07-17 18:24:20,1019286698323267585,434,120,0.4330979004328419,Presidente Vizcarra. La corrupción crea miseria y mutila esperanza. Cambiemos una historia de vergüenza por un destino donde nos sintamos orgullosos de ser peruanos. Está en sus manos unir coraje y convicción para llevar nuestro país a buen puerto. Solo así otro Perú es posible.
2018-07-19 15:41:01,1019970370483445760,293,112,0.042943731659403496,"Renunció el presidente del Poder Judicial... y ¿qué tal si todos los congresistas hacen lo mismo, comenzando por su presidente?"
2018-07-20 15:41:25,1020332859586904064,131,36,0.012032480430066652,"Conocemos las caras de los jueces corruptos pero ¿cuántas víctimas invisibles hay?, ¿cuánto creyeron en la justicia y hoy ven libres a sus victimarios gracias a ellos?, ¿cuántos hoy sufren por no pagar unos ''verdecitos'' y no tener ''hermanitos'' en el Poder Judicial? (1/2)"
2018-07-20 15:41:25,1020332861545730049,57,20,0.5201278330792732,"¿Cuánto del dinero de los peruanos se ha ido para pagar la corrupción? Como COMUNICORE, por el cual Castañeda sospechosamente no fue procesado. Que se reabra este caso y muchos más para que por fin se pueda decir: la justicia tarda pero LLEGA. (2/2)"
2018-07-20 21:19:43,1020417995959619584,116,32,0.0732585747364873,“Ya no queremos al que roba y hace obras” es el clamor de hombres y mujeres con quienes converso en las calles de nuestra Lima Cercado. Para que no nos gobiernen los mismos votemos por la autoridad que queremos tener. La política necesita un cambio. Seamos parte de ese cambio.
2018-07-21 02:16:23,1020492656072450048,68,11,0.18996029001569573,"Inaugurando el local de Sara, nuestra candidata en Jesús Maria. Cada persona que vemos ahí, es un vecino o vecina que se hartó de vivir en una ciudad sin respeto. Para cambiar Lima necesitamos a todos. Claro que se puede"
2018-07-21 17:57:27,1020729483320614912,81,26,0.03723338748512898,"Conversando y repartiendo nuestros volantes a los vecinos de Barrios Altos. Acompáñame, esta lucha por Lima es de todos y todas."
2018-07-21 23:08:50,1020807844709494784,38,12,0.05787630633425983,"No basta con indignarnos por los malos políticos, ¡llevemos el mensaje de que sí se puede ser alcalde sin negociar la ciudad! Los invito a ser parte de nuestro voluntariado para juntos convocar a todos a ser protagonistas del cambio. Sí se puede."
2018-07-21 23:08:50,1020807844709494784,38,12,0.05787630633425983,"No basta con indignarnos por los malos políticos, ¡llevemos el mensaje de que sí se puede ser alcalde sin negociar la ciudad! Los invito a ser parte de nuestro voluntariado para juntos convocar a todos a ser protagonistas del cambio. Sí se puede."
2018-07-22 00:50:17,1020833377207939077,46,11,0.3904886129103523,"Continuamos la tarde en San Juan de Lurigancho. Conversando con cada vecino reafirmo que, aunque vivimos tiempos difíciles en nuestro país, mantenemos la esperanza por un futuro mejor y ¡chambeamos duro por construirlo!"
2018-07-22 15:45:53,1021058760230436866,112,22,0.6492754991621094,"Estamos visitando Puente Piedra, Santa Rosa y Ancón, tres distritos con muchas demandas, una de ellas: ser una ciudad de propietarios y no de posesionarios. Nosotros lo haremos, sabemos cómo."
2018-07-22 16:00:18,1021062388563529728,36,4,0.8024301354975628,Agradecido por todas las personas que vienen a caminar con nosotros para construir paso a paso una ciudad de la que nos sintamos orgullosos.
2018-07-22 22:54:40,1021166667248828417,54,11,0.24188491828808922,"Seguimos avanzando. Hoy estuvimos en Puente Piedra con nuestro candidato distrital, Esteban, para decirle a los vecinos que ha llegado la hora para una Lima segura, con mejor aire, mejor transporte y una ciudad más limpia."
