fecha,idT,Likes,ReTweets,Positividad,txt
2018-09-01 19:22:33,1035971190744117248,66,30,0.1387210100962295,"Desde olvidada Av Pacasmayo en la zona de expansión de SMP como se los ofrecí más temprano, me comprometo asfaltar no solo ésta vía metropolitana, sino otras como Sta María, Central, S José, S de Naranjal, Josefina, Paramonga, Tantamayo, Naranjal entre otras"
2018-09-01 19:29:10,1035972855715033089,50,21,0.7931483744310499,"A pesar de la falta de presencia durante años de la autoridad local y metropolitana, mi gente de SMP disfruta un momento de alegría, juntos lo lograremos, vienen tiempos mejores, es mi compromiso!!"
2018-09-03 01:34:50,1036427266019012608,41,16,0.062348155357826465,"Mucha alegría con mi gente de SJL al medio día junto a nuestro candidato Américo Zegarra, recorriendo el distrito en una gran caravana, a partir del 1ero de Enero del 2,019 la dignidad y calidad de vida que merecemos será una realidad, es mi compromiso!!"
2018-09-04 20:36:54,1037077062413107200,3,1,0.32823650481604266,
2018-09-04 20:50:50,1037080569174257664,0,0,0.32823650481604266,
2018-09-05 00:09:39,1037130603530018817,1,1,0.8232764061510821,"Hola, gracias por tu interés, nuestras caminatas las anunciamos por nuestras redes sociales está atenta por favor."
2018-09-05 00:19:22,1037133047034986496,1,1,0.1768625748617388,Síguenos por fb allí siempre estamos indicando
2018-09-06 03:36:02,1037544929172574208,73,35,0.7264044454103303,"A partir de mañana estaré compartiendo mis propuestas para sacar a Lima de la crisis, estaré en vivo desde las 8.00pm, los espero!!"
2018-09-06 12:36:55,1037681045477486592,36,20,0.03477291245515014,"El Estado no puede estar ineficiente y perjudicar así a lo limeños, solucionar el caos del transporte será m prioridad!!"
2018-09-06 16:28:40,1037739369669582850,36,17,0.59066746273115,"¡Más tiempo con los tuyos, menos caos vehicular! Lima se ha convertido en una ciudad caótica. Cambiaremos esa realidad desde el inicio de mi gestión."
2018-09-06 16:28:40,1037739369669582850,36,17,0.59066746273115,"¡Más tiempo con los tuyos, menos caos vehicular! Lima se ha convertido en una ciudad caótica. Cambiaremos esa realidad desde el inicio de mi gestión."
